date,store_id,store_region,sku_id,category,units_sold,revenue,promo_flag,promo_type,price,inventory_level,store_size,holiday_flag
2024-05-10,8,North,121,Snacks,20,65.0,0,,3.25,763,Large,0
2024-02-09,8,South,138,Snacks,13,44.85,0,,3.45,847,Small,0
2023-04-20,10,East,147,Dairy,11,44.528,1,Discount,4.048,487,Small,0
2022-11-12,2,South,109,Snacks,16,46.704,0,,2.78,608,Large,1
2022-02-04,1,South,140,Household,15,67.35000000000001,0,,4.49,802,Medium,0
2023-12-31,2,South,136,Household,16,39.647999999999996,0,,2.36,152,Medium,1
2022-08-05,9,North,115,Personal Care,11,22.880000000000003,1,Discount,2.08,238,Large,0
2023-08-16,8,East,135,Beverages,16,87.68,1,BuyOneGetOne,5.48,147,Large,0
2023-02-11,8,North,135,Household,16,95.42399999999999,1,Discount,5.68,742,Small,1
2024-10-25,10,East,114,Dairy,13,80.34,0,,6.18,833,Small,0
2022-08-19,4,North,132,Dairy,19,114.912,1,BuyOneGetOne,6.048,745,Medium,0
2022-07-09,1,North,127,Beverages,12,81.984,1,FlashSale,6.832,417,Small,1
2023-11-15,8,East,132,Beverages,12,62.760000000000005,0,,5.23,906,Medium,0
2024-08-09,1,East,149,Snacks,12,72.24,0,,6.02,783,Medium,0
2022-09-04,4,East,111,Dairy,19,60.5184,1,Discount,3.152,610,Small,1
2022-07-06,6,North,103,Household,17,78.37,0,,4.61,247,Large,0
2023-05-04,1,East,118,Beverages,11,81.51,0,,7.41,397,Large,0
2022-09-20,10,North,149,Snacks,21,167.496,1,Discount,7.976000000000001,108,Small,0
2024-03-26,3,South,133,Household,21,56.07,0,,2.67,326,Medium,0
2022-04-09,9,North,118,Snacks,13,77.616,0,,5.88,491,Large,1
2023-02-05,1,East,122,Personal Care,22,107.4336,1,FlashSale,4.712,383,Large,1
2024-08-17,1,North,148,Dairy,18,118.44,0,,6.58,617,Large,1
2024-11-26,8,North,149,Personal Care,13,68.432,1,FlashSale,5.264,260,Large,0
2022-05-08,2,North,142,Snacks,13,124.60799999999999,0,,9.44,762,Medium,1
2022-06-04,10,South,126,Beverages,20,179.31599999999997,0,,8.79,781,Large,1
2023-06-22,3,South,125,Personal Care,16,42.4,0,,2.65,875,Medium,0
2023-02-04,3,East,115,Household,20,135.25199999999998,0,,6.63,797,Large,1
2022-05-30,10,South,122,Beverages,15,27.599999999999998,1,BuyOneGetOne,1.8399999999999999,363,Small,0
2024-09-30,5,East,104,Personal Care,17,60.52,0,,3.56,755,Small,0
2023-01-05,10,South,119,Beverages,18,93.42,0,,5.19,573,Small,0
2024-03-01,9,North,101,Snacks,12,111.84,0,,9.32,700,Small,0
2024-06-15,7,East,105,Personal Care,15,83.616,0,,5.36,796,Small,1
2024-12-28,1,South,146,Household,15,53.04,0,,3.4,456,Large,1
2023-06-06,6,North,136,Snacks,22,89.97999999999999,0,,4.09,424,Small,0
2023-05-31,8,East,102,Beverages,19,169.85999999999999,0,,8.94,774,Small,0
2024-08-14,3,East,137,Household,11,44.792,1,BuyOneGetOne,4.072,111,Large,0
2023-05-14,2,East,123,Beverages,20,147.89999999999998,0,,7.25,214,Small,1
2024-04-05,5,South,145,Dairy,19,171.38,0,,9.02,493,Small,0
